TIMESTAMP,QUOTE_TIMESTAMP,DATE,EVENT_ID,MATCH,PICK,ODDS,BOOKMAKERS,DISPERSION,SOURCE,EVENT_STATUS,PRICE_MOVEMENT,VELOCITY_PER_HOUR,ACCELERATION_PER_HOUR2,SNAPSHOT_COUNT,LATEST_SNAPSHOT_AT,PRICE_AGE_MINUTES,STALE
2026-08-04T17:11:16.972447+00:00,,2026-08-04,73325026,"Cerundolo, Juan Manuel vs Medjedovic, Hamad","Cerundolo, Juan Manuel",2.380,2,0.004211,Unibet,pending,0.000000,0.000000,,2,2026-08-04T17:11:16.972447+00:00,0.000,False
2026-08-04T19:38:39.067497+00:00,,2026-08-04,73255936,"Zhang, Shuai vs Ostapenko, Jelena","Zhang, Shuai",3.000,1,0.000000,Unibet,pending,,,,1,2026-08-04T19:38:39.067497+00:00,0.000,False
2026-08-04T19:38:39.067497+00:00,,2026-08-04,13839723032,Pedro Sakamoto vs Gustavo Ribeiro De Almeida,Pedro Sakamoto,2.620,2,0.067061,Bet365/Unibet,pending,,,,1,2026-08-04T19:38:39.067497+00:00,0.000,False
2026-08-04T19:38:39.067497+00:00,,2026-08-04,73349592,"Boscardin Dias, Pedro vs Pieri, Samuele","Boscardin Dias, Pedro",2.630,1,0.000000,Unibet,settled,,,,1,2026-08-04T19:38:39.067497+00:00,0.000,False
2026-08-04T21:23:14.458553+00:00,,2026-08-04,73255952,"Rakhimova, Kamilla vs Siniakova, Katerina","Rakhimova, Kamilla",2.620,1,0.000000,Bet365,pending,,,,1,2026-08-04T21:23:14.458553+00:00,0.000,False
2026-08-04T21:23:14.458553+00:00,,2026-08-04,73255930,"Tauson, Clara vs Bartunkova, Nikola","Bartunkova, Nikola",2.000,2,0.015113,Unibet/Bet365,pending,,,,1,2026-08-04T21:23:14.458553+00:00,0.000,False
2026-08-04T23:31:17.244029+00:00,,2026-08-04,73255930,"Tauson, Clara vs Bartunkova, Nikola","Bartunkova, Nikola",,0,,,,,,,1,2026-08-04T21:23:14.458553+00:00,128.046,True
2026-08-05T08:32:51.222462+00:00,,2026-08-05,73252836,"Marozsan, Fabian vs Arnaldi, Matteo","Arnaldi, Matteo",2.300,2,0.000000,Unibet/Bet365,pending,,,,1,2026-08-05T08:32:51.222462+00:00,0.000,False
2026-08-05T08:32:51.222462+00:00,,2026-08-05,73255244,"Simakin, Ilia vs Sun, Fajing","Sun, Fajing",2.620,2,0.046875,Unibet/Bet365,pending,,,,1,2026-08-05T08:32:51.222462+00:00,0.000,False
2026-08-05T08:32:51.222462+00:00,,2026-08-05,73256332,"Lee, Carol Young Suh vs Falei, Aliona","Falei, Aliona",2.620,2,0.108652,Unibet/Bet365,pending,,,,1,2026-08-05T08:32:51.222462+00:00,0.000,False
2026-08-05T10:28:50.356210+00:00,,2026-08-05,73255244,"Simakin, Ilia vs Sun, Fajing","Sun, Fajing",2.500,2,0.000000,Bet365,pending,-0.045802,-0.023693,,2,2026-08-05T10:28:50.356210+00:00,0.000,False
2026-08-05T13:44:13.710771+00:00,,2026-08-05,73252752,"Buse, Ignacio vs Norrie, Cameron","Buse, Ignacio",2.750,2,0.056075,Bet365/Unibet,pending,,,,1,2026-08-05T13:44:13.710771+00:00,0.000,False
2026-08-05T13:44:13.710771+00:00,,2026-08-05,73252840,"Fearnley, Jacob vs Mensik, Jakub","Fearnley, Jacob",3.000,2,0.000000,Bet365,pending,,,,1,2026-08-05T13:44:13.710771+00:00,0.000,False
2026-08-05T16:28:13.362436+00:00,,2026-08-05,73252752,"Buse, Ignacio vs Norrie, Cameron","Buse, Ignacio",3.000,2,0.033898,Bet365/Unibet,pending,0.090909,0.033261,,2,2026-08-05T16:28:13.362436+00:00,0.000,False
2026-08-05T18:04:47.981028+00:00,,2026-08-05,73252836,"Marozsan, Fabian vs Arnaldi, Matteo","Arnaldi, Matteo",,0,,,,,,,1,2026-08-05T08:32:51.222462+00:00,571.946,True
2026-08-05T19:35:54.483084+00:00,,2026-08-05,73252826,"Michelsen, Alex vs Cerundolo, Francisco","Cerundolo, Francisco",2.350,1,0.000000,Unibet,pending,,,,1,2026-08-05T19:35:54.483084+00:00,0.000,False
2026-08-05T19:35:54.483084+00:00,,2026-08-05,73252852,"Hurkacz, Hubert vs Tabilo, Alejandro","Tabilo, Alejandro",2.500,2,0.114165,Unibet/Bet365,live,,,,1,2026-08-05T19:35:54.483084+00:00,0.000,False
2026-08-05T20:05:21.648471+00:00,,2026-08-05,73252840,"Fearnley, Jacob vs Mensik, Jakub","Fearnley, Jacob",3.100,2,0.032787,Unibet/Bet365,pending,0.033333,0.005248,,2,2026-08-05T20:05:21.648471+00:00,0.000,False
2026-08-05T20:05:21.648471+00:00,,2026-08-05,73252826,"Michelsen, Alex vs Cerundolo, Francisco","Cerundolo, Francisco",2.350,1,0.000000,Unibet,pending,0.000000,0.000000,,2,2026-08-05T20:05:21.648471+00:00,0.000,False
